EventType: OnAppLoad EventDate: 7/30/2020 4:50:02 PM AdditionalInfo:  
EventType: Click EventDate: 7/30/2020 4:50:08 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/30/2020 4:50:12 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/30/2020 4:50:40 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/30/2020 4:50:42 PM AdditionalInfo:  
EventType: Tension EventDate: 7/30/2020 4:50:43 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/30/2020 4:50:43 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/30/2020 4:50:43 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/30/2020 4:50:43 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.01249011 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.3996836 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.562055 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.6994463 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.7993671 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 0.9117782 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.024189 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.14909 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.286481 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.423873 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.573754 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.786086 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.861027 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.923477 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.960948 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.973438 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.985928 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 1.998418 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 2.010908 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 2.048378 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 2.060869 
EventType: Intensity EventDate: 7/30/2020 4:50:49 PM AdditionalInfo: 2.073359 
EventType: Intensity EventDate: 7/30/2020 4:50:50 PM AdditionalInfo: 2.110829 
EventType: Intensity EventDate: 7/30/2020 4:50:50 PM AdditionalInfo: 2.23573 
EventType: Intensity EventDate: 7/30/2020 4:50:50 PM AdditionalInfo: 2.435572 
EventType: Intensity EventDate: 7/30/2020 4:50:50 PM AdditionalInfo: 2.710354 
EventType: Intensity EventDate: 7/30/2020 4:50:50 PM AdditionalInfo: 3 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.997627 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.947666 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.897706 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.847745 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.810275 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.772805 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.747825 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.722844 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.697864 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.685374 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.647904 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.635414 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.610434 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.597943 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.572963 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.547983 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.535493 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.523003 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.485532 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.460552 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.435572 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.398101 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.348141 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.310671 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.26071 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.19826 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.148299 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.085849 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 2.023398 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.960948 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.910987 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.848537 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.786086 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.736126 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.698655 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.648695 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.611224 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.586244 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.561264 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.548774 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.536284 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.523794 
EventType: Intensity EventDate: 7/30/2020 4:50:52 PM AdditionalInfo: 1.498813 
