EventType: OnAppLoad EventDate: 7/28/2020 6:28:50 PM AdditionalInfo:  
EventType: Click EventDate: 7/28/2020 6:28:56 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/28/2020 6:28:57 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/28/2020 6:28:58 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/28/2020 6:29:00 PM AdditionalInfo:  
EventType: Tension EventDate: 7/28/2020 6:29:01 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/28/2020 6:29:01 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/28/2020 6:29:01 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/28/2020 6:29:01 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/28/2020 6:29:03 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/28/2020 6:29:03 PM AdditionalInfo: 1.22095 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 86 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 127 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 188 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 206 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 217 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 226 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 235 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 238 
EventType: Rotation EventDate: 7/28/2020 6:29:08 PM AdditionalInfo: 241 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 247 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 261 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 282 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 299 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 317 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 334 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 346 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 355 
EventType: AchivementUnlocked EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: CR1 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 360 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 358 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 349 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 337 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 323 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 305 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 288 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 261 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 238 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 215 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 191 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 153 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 144 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 139 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 136 
EventType: Rotation EventDate: 7/28/2020 6:29:09 PM AdditionalInfo: 130 
EventType: Rotation EventDate: 7/28/2020 6:29:10 PM AdditionalInfo: 127 
EventType: Rotation EventDate: 7/28/2020 6:29:10 PM AdditionalInfo: 124 
EventType: Rotation EventDate: 7/28/2020 6:29:10 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 7/28/2020 6:29:10 PM AdditionalInfo: 118 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 109 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 86 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 74 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 60 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 51 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 36 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 1 
EventType: Rotation EventDate: 7/28/2020 6:29:11 PM AdditionalInfo: 0 
EventType: AchivementUnlocked EventDate: 7/28/2020 6:29:15 PM AdditionalInfo: CR2 
EventType: Rotation EventDate: 7/28/2020 6:29:15 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 7/28/2020 6:29:15 PM AdditionalInfo: 90 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.197252 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.173554 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.126156 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.102458 
EventType: AchivementUnlocked EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: CR3 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.055063 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 1.007665 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 0.9602691 
EventType: Intensity EventDate: 7/28/2020 6:29:19 PM AdditionalInfo: 0.9128732 
