EventType: OnAppLoad EventDate: 7/27/2020 5:15:59 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 5:16:03 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 5:16:32 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 5:16:40 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 5:16:42 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 5:16:42 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 5:16:42 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 5:16:42 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 5:16:42 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.01561264 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.0780632 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.1405137 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.1873517 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.2498022 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.1873517 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.2029643 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.2810275 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.2966402 
EventType: Intensity EventDate: 7/27/2020 5:17:02 PM AdditionalInfo: 0.3278654 
EventType: Intensity EventDate: 7/27/2020 5:17:03 PM AdditionalInfo: 0.3434781 
EventType: Intensity EventDate: 7/27/2020 5:17:03 PM AdditionalInfo: 0.3590907 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.3747033 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.390316 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4059286 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4215413 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4371539 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4527665 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4683792 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4839918 
EventType: Intensity EventDate: 7/27/2020 5:17:04 PM AdditionalInfo: 0.4996045 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.5152171 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.5308298 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.5464424 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.562055 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.5776677 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.5932803 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.608893 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.6557308 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.6713435 
EventType: Intensity EventDate: 7/27/2020 5:17:05 PM AdditionalInfo: 0.6869562 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.6713435 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.6557308 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.6401182 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.608893 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.5932803 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.5776677 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.562055 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.5464424 
EventType: Intensity EventDate: 7/27/2020 5:17:06 PM AdditionalInfo: 0.5308298 
