EventType: OnAppLoad EventDate: 7/27/2020 3:46:48 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 3:46:55 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 3:47:17 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 3:47:43 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 3:47:45 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 3:47:46 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 3:47:46 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 3:47:46 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 3:47:46 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 3:48:01 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 3:48:01 PM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 7/27/2020 3:48:01 PM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 7/27/2020 3:48:29 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/27/2020 3:48:29 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/27/2020 3:48:31 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/27/2020 3:48:31 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/27/2020 3:48:32 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/27/2020 3:48:32 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/27/2020 3:48:33 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/27/2020 3:48:33 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/27/2020 3:48:33 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/27/2020 3:48:33 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/27/2020 3:48:34 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 3:48:35 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 3:48:36 PM AdditionalInfo: 2.537392 
EventType: Intensity EventDate: 7/27/2020 3:48:36 PM AdditionalInfo: 2.724743 
EventType: Intensity EventDate: 7/27/2020 3:48:36 PM AdditionalInfo: 2.849644 
EventType: Intensity EventDate: 7/27/2020 3:48:36 PM AdditionalInfo: 2.949565 
EventType: Intensity EventDate: 7/27/2020 3:48:36 PM AdditionalInfo: 3 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 103 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 106 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 109 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 112 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 113 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 114 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 115 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 118 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 122 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 125 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 128 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 132 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 136 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 140 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 142 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 147 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 151 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 156 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 161 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 166 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 167 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 170 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 173 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 175 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 176 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 177 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 178 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 181 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 184 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 189 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 194 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 199 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 202 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 205 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 208 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 210 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 213 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 214 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 217 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 219 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 222 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 226 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 231 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 237 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 242 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 248 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 253 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 257 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 260 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 264 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 267 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 271 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 272 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 276 
EventType: Tension EventDate: 7/27/2020 3:48:42 PM AdditionalInfo: 282 
EventType: Tension EventDate: 7/27/2020 3:48:43 PM AdditionalInfo: 288 
EventType: Tension EventDate: 7/27/2020 3:48:43 PM AdditionalInfo: 294 
EventType: Tension EventDate: 7/27/2020 3:48:43 PM AdditionalInfo: 300 
EventType: Tension EventDate: 7/27/2020 3:48:43 PM AdditionalInfo: 290 
EventType: Tension EventDate: 7/27/2020 3:48:43 PM AdditionalInfo: 271 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 248 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 228 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 213 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 197 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 189 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 180 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 175 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 165 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 153 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 139 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 126 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 112 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 102 
EventType: Tension EventDate: 7/27/2020 3:48:44 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 18 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 22 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 39 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 41 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 45 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 53 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 58 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 62 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 67 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 72 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 78 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 84 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 101 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 107 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 108 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 102 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 95 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 87 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 76 
EventType: Rotation EventDate: 7/27/2020 3:48:46 PM AdditionalInfo: 72 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 67 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 64 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 59 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 56 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 55 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 51 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 48 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 45 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 42 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 44 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 51 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 58 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 62 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 65 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 67 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 68 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 70 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 72 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 73 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 76 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 78 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 7/27/2020 3:48:47 PM AdditionalInfo: 82 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 84 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 93 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 95 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 99 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 101 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 105 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 107 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 108 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 112 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 113 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 7/27/2020 3:48:48 PM AdditionalInfo: 116 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 113 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 108 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 105 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 101 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 7/27/2020 3:48:49 PM AdditionalInfo: 95 
