EventType: OnAppLoad EventDate: 7/28/2020 3:46:02 PM AdditionalInfo:  
EventType: Click EventDate: 7/28/2020 3:47:47 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/28/2020 3:47:56 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/28/2020 3:48:38 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/28/2020 3:48:40 PM AdditionalInfo:  
EventType: Tension EventDate: 7/28/2020 3:48:40 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/28/2020 3:48:40 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/28/2020 3:48:40 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/28/2020 3:48:40 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/28/2020 3:48:57 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/28/2020 3:48:57 PM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 7/28/2020 3:48:57 PM AdditionalInfo: 0.2 
EventType: Click EventDate: 7/28/2020 3:49:34 PM AdditionalInfo: Show pop-ups: False 
EventType: Click EventDate: 7/28/2020 3:49:35 PM AdditionalInfo: Show pop-ups: True 
EventType: Intensity EventDate: 7/28/2020 3:49:44 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/28/2020 3:49:44 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/28/2020 3:49:49 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/28/2020 3:49:49 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/28/2020 3:49:51 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/28/2020 3:49:53 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/28/2020 3:49:53 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/28/2020 3:49:54 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/28/2020 3:49:54 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/28/2020 3:49:57 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/28/2020 3:49:57 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/28/2020 3:49:59 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/28/2020 3:50:00 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/28/2020 3:50:00 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/28/2020 3:50:01 PM AdditionalInfo: 2.8 
EventType: Intensity EventDate: 7/28/2020 3:50:01 PM AdditionalInfo: 2.8 
EventType: Warning EventDate: 7/28/2020 3:50:03 PM AdditionalInfo:  
EventType: Intensity EventDate: 7/28/2020 3:50:03 PM AdditionalInfo: 3 
EventType: Intensity EventDate: 7/28/2020 3:50:03 PM AdditionalInfo: 3 
EventType: NoActionClick EventDate: 7/28/2020 3:50:07 PM AdditionalInfo: Hint showed: CR1 
EventType: Rotation EventDate: 7/28/2020 3:50:15 PM AdditionalInfo: 14 
EventType: Rotation EventDate: 7/28/2020 3:50:15 PM AdditionalInfo: 14 
EventType: Rotation EventDate: 7/28/2020 3:50:16 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 7/28/2020 3:50:16 PM AdditionalInfo: 15 
EventType: Rotation EventDate: 7/28/2020 3:50:16 PM AdditionalInfo: 16 
EventType: Rotation EventDate: 7/28/2020 3:50:16 PM AdditionalInfo: 16 
EventType: Rotation EventDate: 7/28/2020 3:50:18 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 7/28/2020 3:50:18 PM AdditionalInfo: 17 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 18 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 18 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 20 
EventType: Rotation EventDate: 7/28/2020 3:50:19 PM AdditionalInfo: 20 
EventType: Rotation EventDate: 7/28/2020 3:50:20 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 7/28/2020 3:50:20 PM AdditionalInfo: 21 
EventType: Rotation EventDate: 7/28/2020 3:50:20 PM AdditionalInfo: 22 
EventType: Rotation EventDate: 7/28/2020 3:50:20 PM AdditionalInfo: 22 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 23 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 24 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 24 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 25 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 26 
EventType: Rotation EventDate: 7/28/2020 3:50:21 PM AdditionalInfo: 26 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 27 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 29 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 29 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 30 
EventType: Rotation EventDate: 7/28/2020 3:50:22 PM AdditionalInfo: 30 
EventType: Rotation EventDate: 7/28/2020 3:50:23 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 7/28/2020 3:50:23 PM AdditionalInfo: 31 
EventType: Rotation EventDate: 7/28/2020 3:50:23 PM AdditionalInfo: 32 
EventType: Rotation EventDate: 7/28/2020 3:50:23 PM AdditionalInfo: 32 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 34 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 34 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 35 
EventType: Rotation EventDate: 7/28/2020 3:50:24 PM AdditionalInfo: 35 
EventType: Intensity EventDate: 7/28/2020 3:50:25 PM AdditionalInfo: 2.964879 
EventType: Intensity EventDate: 7/28/2020 3:50:25 PM AdditionalInfo: 2.84196 
EventType: Intensity EventDate: 7/28/2020 3:50:25 PM AdditionalInfo: 2.68392 
EventType: Intensity EventDate: 7/28/2020 3:50:25 PM AdditionalInfo: 2.350282 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 2.016643 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 1.033288 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 1.103526 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 1.138647 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 1.173766 
EventType: Intensity EventDate: 7/28/2020 3:50:26 PM AdditionalInfo: 1.191326 
EventType: Intensity EventDate: 7/28/2020 3:50:33 PM AdditionalInfo: 1.5 
