EventType: OnAppLoad EventDate: 7/27/2020 1:33:19 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 1:33:32 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 1:33:35 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 1:33:39 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 1:33:44 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 1:33:47 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:33:47 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:33:47 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:33:47 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.1308279 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.4389061 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.5810955 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.628493 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.6521894 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.675889 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.7232849 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.7469844 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.7706823 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.7943804 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.8180783 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.8654758 
EventType: Intensity EventDate: 7/27/2020 1:34:06 PM AdditionalInfo: 0.8891737 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 0.9128718 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 0.9365712 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 0.9602677 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 0.9839672 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.007665 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.031363 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.055063 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.078761 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.126157 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.102459 
EventType: Intensity EventDate: 7/27/2020 1:34:07 PM AdditionalInfo: 1.126157 
