EventType: OnAppLoad EventDate: 8/4/2020 3:20:17 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 3:20:25 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 3:20:27 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 3:20:28 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 3:20:30 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 3:20:31 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 3:20:31 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 3:20:31 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 3:20:31 AM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.0236995 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.1895868 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.2843818 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.3317778 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.3791737 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.4265711 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.4502691 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.4739686 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.4976651 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.5213646 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.5450625 
EventType: Intensity EventDate: 8/4/2020 3:20:34 AM AdditionalInfo: 0.5687605 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.59246 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.663554 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.7109514 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.7583474 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.7820454 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.8531408 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.8768388 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.9005383 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.9479343 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.9716322 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 0.9953302 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.01903 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.042728 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.090124 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.113822 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.137521 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.161219 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.208615 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.232313 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.256012 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.27971 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.327108 
EventType: Intensity EventDate: 8/4/2020 3:20:35 AM AdditionalInfo: 1.350806 
