EventType: OnAppLoad EventDate: 8/4/2020 2:10:25 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 2:10:30 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 2:10:32 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 2:10:33 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 2:10:35 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 2:10:35 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 2:10:35 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 2:10:35 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 2:10:35 AM AdditionalInfo: 13 
EventType: Tension EventDate: 8/4/2020 2:10:55 AM AdditionalInfo: 101 
EventType: Tension EventDate: 8/4/2020 2:10:55 AM AdditionalInfo: 101 
EventType: Tension EventDate: 8/4/2020 2:10:55 AM AdditionalInfo: 102 
EventType: Tension EventDate: 8/4/2020 2:10:55 AM AdditionalInfo: 102 
EventType: Tension EventDate: 8/4/2020 2:10:56 AM AdditionalInfo: 103 
EventType: Tension EventDate: 8/4/2020 2:10:56 AM AdditionalInfo: 103 
EventType: Tension EventDate: 8/4/2020 2:10:56 AM AdditionalInfo: 104 
EventType: Tension EventDate: 8/4/2020 2:10:56 AM AdditionalInfo: 104 
EventType: AchivementUnlocked EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 8/4/2020 2:10:57 AM AdditionalInfo: 0.6 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 14 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 14 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 15 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 15 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 16 
EventType: Rotation EventDate: 8/4/2020 2:10:59 AM AdditionalInfo: 16 
EventType: Intensity EventDate: 8/4/2020 2:11:14 AM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 8/4/2020 2:11:14 AM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 8/4/2020 2:11:15 AM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.8 
EventType: Intensity EventDate: 8/4/2020 2:11:16 AM AdditionalInfo: 2.8 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:17 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:17 AM AdditionalInfo: 3 
EventType: Warning EventDate: 8/4/2020 2:11:18 AM AdditionalInfo:  
EventType: Intensity EventDate: 8/4/2020 2:11:18 AM AdditionalInfo: 3 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 17 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 17 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 18 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 18 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 19 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 19 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 20 
EventType: Rotation EventDate: 8/4/2020 2:11:19 AM AdditionalInfo: 20 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 21 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 21 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 22 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 22 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 23 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 23 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 24 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 24 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 25 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 25 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 26 
EventType: Rotation EventDate: 8/4/2020 2:11:20 AM AdditionalInfo: 26 
