EventType: OnAppLoad EventDate: 7/27/2020 1:40:29 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 1:40:42 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 1:40:47 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 1:40:52 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 1:40:54 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 1:40:55 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:40:55 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:40:55 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:40:55 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 28 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 56 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 61 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 69 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 71 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 75 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 79 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 81 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 83 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 85 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 87 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 96 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 7/27/2020 1:40:59 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 129 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 154 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 205 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 232 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 253 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 265 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 268 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 274 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 276 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 280 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 286 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 299 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 303 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 315 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 323 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 327 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 330 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 334 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 338 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 342 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 346 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 350 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 356 
EventType: Rotation EventDate: 7/27/2020 1:41:00 PM AdditionalInfo: 360 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 352 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 338 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 330 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 323 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 313 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 309 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 307 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 305 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 303 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 301 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 299 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 294 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 288 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 286 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 284 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 282 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 274 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 268 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 253 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 232 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 224 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 220 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 216 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 212 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 210 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 205 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 201 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 189 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 181 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 172 
EventType: Rotation EventDate: 7/27/2020 1:41:01 PM AdditionalInfo: 170 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 172 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 181 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 187 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 191 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 193 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 197 
EventType: Rotation EventDate: 7/27/2020 1:41:02 PM AdditionalInfo: 199 
