EventType: OnAppLoad EventDate: 7/27/2020 4:26:41 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 4:26:47 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 4:26:51 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 4:27:06 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 4:27:07 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 4:27:08 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 4:27:08 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 4:27:08 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 4:27:08 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 4:27:18 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 4:27:18 PM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 7/27/2020 4:27:18 PM AdditionalInfo: 0.2 
EventType: Intensity EventDate: 7/27/2020 4:27:18 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/27/2020 4:27:18 PM AdditionalInfo: 0.4 
EventType: Intensity EventDate: 7/27/2020 4:27:19 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/27/2020 4:27:19 PM AdditionalInfo: 0.6 
EventType: Intensity EventDate: 7/27/2020 4:27:20 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/27/2020 4:27:20 PM AdditionalInfo: 0.8 
EventType: Intensity EventDate: 7/27/2020 4:27:21 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/27/2020 4:27:21 PM AdditionalInfo: 1 
EventType: Intensity EventDate: 7/27/2020 4:27:21 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/27/2020 4:27:21 PM AdditionalInfo: 1.2 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.4 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.6 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 4:27:22 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.8 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 2.8 
EventType: Warning EventDate: 7/27/2020 4:27:23 PM AdditionalInfo:  
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 3 
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 3 
EventType: Warning EventDate: 7/27/2020 4:27:23 PM AdditionalInfo:  
EventType: Intensity EventDate: 7/27/2020 4:27:23 PM AdditionalInfo: 3 
EventType: Intensity EventDate: 7/27/2020 4:27:25 PM AdditionalInfo: 2.8 
EventType: Intensity EventDate: 7/27/2020 4:27:25 PM AdditionalInfo: 2.8 
EventType: Intensity EventDate: 7/27/2020 4:27:25 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/27/2020 4:27:25 PM AdditionalInfo: 2.6 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2.4 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2.2 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 2 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 1.8 
EventType: Intensity EventDate: 7/27/2020 4:27:26 PM AdditionalInfo: 1.8 
EventType: AchivementUnlocked EventDate: 7/27/2020 4:27:28 PM AdditionalInfo: CR1 
EventType: Rotation EventDate: 7/27/2020 4:27:28 PM AdditionalInfo: 360 
EventType: Warning EventDate: 7/27/2020 4:27:30 PM AdditionalInfo:  
EventType: Rotation EventDate: 7/27/2020 4:27:30 PM AdditionalInfo: 360 
EventType: Warning EventDate: 7/27/2020 4:27:31 PM AdditionalInfo:  
