EventType: OnAppLoad EventDate: 7/27/2020 9:45:18 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 9:45:25 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 9:45:28 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 9:45:31 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 9:45:33 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 9:45:33 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 9:45:33 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 9:45:33 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 9:45:33 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: 0.0261668 
EventType: Intensity EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: 0.05114702 
EventType: Intensity EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: 0.07612725 
EventType: Intensity EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: 0.08861735 
EventType: Intensity EventDate: 7/27/2020 9:45:37 PM AdditionalInfo: 0.1011075 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.1135976 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.1260877 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.1385778 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.163558 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.1885383 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.2010284 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.2384987 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.2634789 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3009493 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3259295 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3509097 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3633998 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3758899 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.3883801 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4133603 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4258504 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4383405 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4633207 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4758108 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.4883009 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.5007911 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.5257713 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.5382614 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.5757318 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.6256922 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.6381823 
EventType: Intensity EventDate: 7/27/2020 9:45:38 PM AdditionalInfo: 0.6881427 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 0.7381032 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 0.7755735 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 0.8380241 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 0.9129648 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 0.9754152 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.012886 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.050356 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.087826 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.125297 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.150277 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.162767 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.175257 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.200237 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.225218 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.250198 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.275178 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.300158 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.325138 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.362609 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.400079 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.437549 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.46253 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.48751 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.51249 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.52498 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.54996 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.574941 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.599921 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.637391 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.674862 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.699842 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.712332 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.737312 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.762292 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.774782 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.812253 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.849723 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.887193 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.924664 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.962134 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 1.999604 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.024585 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.037075 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.062055 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.087035 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.112015 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.136996 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.161976 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.174466 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.211936 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.249407 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.311857 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.349328 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.424268 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.486719 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.54917 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.62411 
EventType: Intensity EventDate: 7/27/2020 9:45:39 PM AdditionalInfo: 2.686561 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.749011 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.811462 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.873912 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.936363 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 3 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.973833 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.911383 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.836442 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.724031 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.66158 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.59913 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.536679 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.486719 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.424268 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.361818 
EventType: Intensity EventDate: 7/27/2020 9:45:40 PM AdditionalInfo: 2.299367 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 2.249407 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 2.149486 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 2.099525 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 2.062055 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 2.037075 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.999604 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.987114 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.974624 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.949644 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.924664 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.887193 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.849723 
EventType: Intensity EventDate: 7/27/2020 9:45:41 PM AdditionalInfo: 1.812253 
