EventType: OnAppLoad EventDate: 8/4/2020 1:53:52 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 1:53:58 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 1:54:01 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 1:54:02 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 1:54:04 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 1:54:05 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 1:54:05 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 1:54:05 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 1:54:05 AM AdditionalInfo: 13 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 25 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 54 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 57 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 60 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 63 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 66 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 69 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 71 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 74 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 77 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 80 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 83 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 89 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 92 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 98 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 104 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 109 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 115 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 124 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 130 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 139 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 147 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 156 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 165 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 177 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 185 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 197 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 206 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 217 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 226 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 238 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 250 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 261 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 273 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 282 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 291 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 302 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 311 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 320 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 329 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 334 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 343 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 346 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 349 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 352 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 346 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 343 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 337 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 329 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 320 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 308 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 296 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 285 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 273 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 261 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 250 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 238 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 229 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 223 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 215 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 209 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 203 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 200 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 197 
EventType: Rotation EventDate: 8/4/2020 1:54:09 AM AdditionalInfo: 194 
EventType: AchivementUnlocked EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.02369798 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.1895868 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.2843788 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.3317762 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.3554742 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.4028717 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.4502691 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.4739656 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.521363 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.5687605 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.592457 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.7109499 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.7346479 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.7820438 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.8294413 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.8531393 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.8768388 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.9005352 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.9479327 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.9716307 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 0.9953302 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.019028 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.042726 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.090122 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.113822 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.13752 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.161217 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.184916 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.208614 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.232313 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.256011 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.303409 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.327106 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.350804 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.374502 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.3982 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.4219 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.445598 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.469296 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.492994 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.516692 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.540391 
EventType: Intensity EventDate: 8/4/2020 1:54:11 AM AdditionalInfo: 1.564089 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.587787 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.611487 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.635185 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.658883 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.682581 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.706279 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.729978 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.753676 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.777374 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.801072 
EventType: Intensity EventDate: 8/4/2020 1:54:12 AM AdditionalInfo: 1.82477 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 102 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 103 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 105 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 106 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 108 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 110 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 111 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 115 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 116 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 118 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 121 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 123 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 126 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 129 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 132 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 136 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 140 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 145 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 149 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 153 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 158 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 163 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 168 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 171 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 174 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 178 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 181 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 183 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 184 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 186 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 187 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 189 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 191 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 192 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 194 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 196 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 197 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 199 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 200 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 202 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 204 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 205 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 207 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 208 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 210 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 212 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 213 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 215 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 217 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 218 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 220 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 221 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 223 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 225 
EventType: Tension EventDate: 8/4/2020 1:54:16 AM AdditionalInfo: 226 
