EventType: OnAppLoad EventDate: 8/4/2020 12:19:26 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 12:19:51 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 12:19:53 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 12:20:07 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 12:20:09 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 12:20:10 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 12:20:10 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 12:20:10 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 12:20:10 AM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 8/4/2020 12:20:19 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/4/2020 12:20:19 AM AdditionalInfo: 0.02708274 
EventType: Intensity EventDate: 8/4/2020 12:20:19 AM AdditionalInfo: 0.1218762 
EventType: Intensity EventDate: 8/4/2020 12:20:19 AM AdditionalInfo: 0.1354183 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.1625026 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.1760447 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.2302102 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.2979209 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.3791722 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.4197971 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.4604234 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.5010499 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.5416747 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.5552168 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.568759 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.5822996 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.622926 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.6770946 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.6500103 
EventType: Intensity EventDate: 8/4/2020 12:20:20 AM AdditionalInfo: 0.6364682 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.622926 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.6093839 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5958418 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5822996 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.568759 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5552168 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5416747 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5281326 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.514592 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.5010499 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.4875077 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.4739656 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.4604234 
EventType: Intensity EventDate: 8/4/2020 12:20:21 AM AdditionalInfo: 0.4468813 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.4333392 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.4197971 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.4062549 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.4197971 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.4604234 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.5822996 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.7041773 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.8531393 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 0.9614733 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 1.042725 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 1.069809 
EventType: Intensity EventDate: 8/4/2020 12:20:23 AM AdditionalInfo: 1.083351 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.096893 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.123976 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.15106 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.178144 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.205229 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.259396 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.327105 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.408356 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.489607 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.570859 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.665652 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.706279 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.760446 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.78753 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.80107 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.828155 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.868781 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.93649 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.990657 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.07191 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.15316 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.234413 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.28858 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.369831 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.410457 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.532334 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.586502 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.654211 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.681294 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.72192 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.735462 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.762547 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.776087 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.789629 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.803172 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.816714 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.830256 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.776087 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.478167 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 2.166702 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.868781 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.597943 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.354189 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 1.123976 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 0.9208484 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 0.7177194 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 0.4739656 
EventType: Intensity EventDate: 8/4/2020 12:20:24 AM AdditionalInfo: 0.2843788 
