EventType: OnAppLoad EventDate: 7/27/2020 1:32:04 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 1:32:35 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 1:32:38 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 1:32:39 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 1:32:42 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 1:32:43 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:32:43 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:32:43 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:32:43 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 16 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 56 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 84 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 99 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 110 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 116 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 125 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 132 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 138 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 145 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 156 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 158 
EventType: Rotation EventDate: 7/27/2020 1:32:56 PM AdditionalInfo: 165 
