EventType: OnAppLoad EventDate: 8/4/2020 12:03:19 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 12:03:25 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 12:03:27 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 12:03:30 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 12:03:32 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 12:03:32 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 12:03:32 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 12:03:32 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 12:03:32 AM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.07109545 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.521363 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.663554 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.6872519 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.7109499 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.7583458 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.8531408 
EventType: Intensity EventDate: 8/4/2020 12:03:36 AM AdditionalInfo: 0.8768373 
EventType: Rotation EventDate: 8/4/2020 12:03:39 AM AdditionalInfo: 71 
EventType: Rotation EventDate: 8/4/2020 12:03:39 AM AdditionalInfo: 77 
EventType: Rotation EventDate: 8/4/2020 12:03:39 AM AdditionalInfo: 88 
EventType: Rotation EventDate: 8/4/2020 12:03:39 AM AdditionalInfo: 97 
