EventType: OnAppLoad EventDate: 8/4/2020 10:07:07 AM AdditionalInfo:  
EventType: Click EventDate: 8/4/2020 10:07:15 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/4/2020 10:07:17 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/4/2020 10:07:19 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/4/2020 10:07:21 AM AdditionalInfo:  
EventType: Tension EventDate: 8/4/2020 10:07:22 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 10:07:22 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/4/2020 10:07:22 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/4/2020 10:07:22 AM AdditionalInfo: 13 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 16 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 36 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 48 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 60 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 74 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 83 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 92 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 101 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 112 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 124 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 133 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 139 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 144 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 150 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 156 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 162 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 165 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 177 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 185 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 191 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 194 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 197 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 206 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 215 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 217 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 223 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 229 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 235 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 241 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 244 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 250 
EventType: Rotation EventDate: 8/4/2020 10:07:41 AM AdditionalInfo: 253 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 255 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 264 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 270 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 276 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 285 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 291 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 293 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 299 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 302 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 308 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 314 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 320 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 326 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 334 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 340 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 349 
EventType: Rotation EventDate: 8/4/2020 10:07:42 AM AdditionalInfo: 360 
