EventType: OnAppLoad EventDate: 7/27/2020 2:44:53 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 3:03:44 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 3:03:46 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 3:03:51 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 3:03:53 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 3:03:54 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 3:03:54 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 3:03:54 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 3:03:54 PM AdditionalInfo: 13 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 74 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 89 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 95 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 101 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 106 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 109 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 127 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 136 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 144 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 147 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 153 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 168 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 194 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 197 
EventType: Rotation EventDate: 7/27/2020 3:04:05 PM AdditionalInfo: 203 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 197 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 191 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 182 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 180 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 174 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 171 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 168 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 165 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 156 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 153 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 147 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 144 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 142 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 139 
EventType: Rotation EventDate: 7/27/2020 3:04:06 PM AdditionalInfo: 136 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 133 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 130 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 127 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 124 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 118 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 115 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 112 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 106 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 101 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 98 
EventType: Rotation EventDate: 7/27/2020 3:04:07 PM AdditionalInfo: 95 
