EventType: OnAppLoad EventDate: 7/27/2020 1:39:46 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 1:39:59 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 1:40:01 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 1:40:14 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 1:40:17 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 1:40:18 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:40:18 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:40:18 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:40:18 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.04739747 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.5687605 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.7346479 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.8294429 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.8768388 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.9479343 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 0.9953302 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 1.042726 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 1.090124 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 1.161219 
EventType: Intensity EventDate: 7/27/2020 1:40:22 PM AdditionalInfo: 1.184917 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.208615 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.256012 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.327106 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.374504 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.398202 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.4219 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.374504 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.303409 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.232313 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.113822 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 1.066426 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.9716322 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.9005368 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.8531408 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.8294429 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.7820454 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.7583474 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.7346479 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.7109514 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.6872519 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.663554 
EventType: Intensity EventDate: 7/27/2020 1:40:23 PM AdditionalInfo: 0.639856 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 16 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 19 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 33 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 57 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 80 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 104 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 130 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 168 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 182 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 191 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 194 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 191 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 188 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 185 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 182 
EventType: Rotation EventDate: 7/27/2020 1:40:25 PM AdditionalInfo: 177 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 174 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 168 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 156 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 147 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 153 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 156 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 165 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 168 
EventType: Rotation EventDate: 7/27/2020 1:40:26 PM AdditionalInfo: 171 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 102 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 106 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 111 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 116 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 119 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 128 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 132 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 142 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 147 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 149 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 150 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 152 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 153 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 157 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 158 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 160 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 166 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 174 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 183 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 197 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 210 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 225 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 238 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 249 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 260 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 265 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 272 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 273 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 276 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 285 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 291 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 299 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 300 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 296 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 289 
EventType: Tension EventDate: 7/27/2020 1:40:29 PM AdditionalInfo: 285 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 281 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 280 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 278 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 276 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 275 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 273 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 270 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 267 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 264 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 259 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 255 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 249 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 246 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 242 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 239 
EventType: Tension EventDate: 7/27/2020 1:40:30 PM AdditionalInfo: 236 
