EventType: OnAppLoad EventDate: 7/27/2020 1:44:53 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 1:45:02 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 1:45:04 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 1:45:08 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 1:45:10 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 1:45:10 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:45:10 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 1:45:10 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 1:45:10 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.04739595 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.2843803 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.3080782 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.3317778 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.3554742 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.3791737 
EventType: Intensity EventDate: 7/27/2020 1:45:25 PM AdditionalInfo: 0.4028717 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.4265696 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.4739671 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.4976651 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.5450611 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.5687605 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.639856 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.6872519 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.7109499 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.7820454 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.8294413 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.8531393 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.9005368 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.9716307 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 0.9953302 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 1.019028 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 1.042726 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 1.066426 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 1.090124 
EventType: Intensity EventDate: 7/27/2020 1:45:26 PM AdditionalInfo: 1.13752 
