EventType: OnAppLoad EventDate: 8/5/2020 3:48:37 PM AdditionalInfo:  
EventType: Click EventDate: 8/5/2020 3:48:53 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/5/2020 3:48:56 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/5/2020 3:49:01 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/5/2020 3:49:03 PM AdditionalInfo:  
EventType: Tension EventDate: 8/5/2020 3:49:04 PM AdditionalInfo: 100 
EventType: Tension EventDate: 8/5/2020 3:49:04 PM AdditionalInfo: 100 
EventType: Tension EventDate: 8/5/2020 3:49:04 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/5/2020 3:49:04 PM AdditionalInfo: 13 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 102 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 106 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 110 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 113 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 118 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 124 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 132 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 136 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 140 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 144 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 145 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 150 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 153 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 157 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 158 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 163 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 168 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 176 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 184 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 187 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 191 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 192 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 194 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 196 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 192 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 186 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 181 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 174 
EventType: Tension EventDate: 8/5/2020 3:49:10 PM AdditionalInfo: 168 
EventType: Tension EventDate: 8/5/2020 3:49:11 PM AdditionalInfo: 165 
EventType: Tension EventDate: 8/5/2020 3:49:11 PM AdditionalInfo: 160 
EventType: Tension EventDate: 8/5/2020 3:49:11 PM AdditionalInfo: 155 
EventType: Tension EventDate: 8/5/2020 3:49:11 PM AdditionalInfo: 150 
